2010,key,ranking ,2011,key,ranking_2011,rankingtop,2012,key,ranking _2012,rankingtop,2013,key,ranking_2013,rankingtop,2014,key,ranking_2014,rankingtop,2015,key,ranking_2015,rankingtop,2016,key,ranking _2016,rankingtop
nedbank group,15618,1,absa bank,279376,1,,gold fields,17947,1,1,royal bafokeng platinum,295796,1,1,liberty holdings,25052,1,1,kumba iron ore,281544,1,1,kumba iron ore,281544,1,1
gold fields,17947,1,african rainbow minerals,17315,1,,truworths international,226899,1,2,standard bank group,15781,1,2,anglo american,15508,1,2,oceana group,102145,1,2,redefine properties,264030,1,2
anglo american,15508,1,exxaro resources,146202,1,,standard bank group,15781,1,3,sasol,100465,1,3,barclays africa group,16305,1,3,liberty holdings,25052,1,3,sasol,100465,1,3
massmart holdings,240319,1,gold fields,17947,1,,royal bafokeng platinum,295796,1,4,truworths international,226899,1,4,sasol,100465,1,4,sasol,100465,1,4,nedbank group,15618,1,4
standard bank group,15781,1,liberty holdings,25052,1,,sasol,100465,1,5,gold fields,17947,1,5,mtn group,211655,1,5,redefine properties,264030,1,5,oceana group,102145,1,5
exxaro resources,146202,1,nedbank group,15618,1,,vodacom group,292072,1,6,aspen pharmacare holdings,211127,1,6,redefine properties,264030,1,6,truworths international,226899,1,6,barclays africa group,16305,1,6
truworths international,226899,1,sasol,100465,1,,illovo sugar,208127,1,7,kumba iron ore,281544,1,7,standard bank group,15781,1,7,vodacom group,292072,1,7,truworths international,226899,1,7
african rainbow minerals,17315,1,standard bank group,15781,1,,nedbank group,15618,1,8,liberty holdings,25052,1,8,truworths international,226899,1,8,nedbank group,15618,1,8,liberty holdings,25052,1,8
sasol,100465,1,truworths international,226899,1,,exxaro resources,146202,1,9,clicks group,213098,1,9,gold fields,17947,1,9,anglo american,15508,1,9,vodacom group,292072,1,9
kumba iron ore,281544,1,vodacom group,292072,1,,liberty holdings,25052,1,10,exxaro resources,146202,1,10,kumba iron ore,281544,1,10,barclays africa group,16305,1,10,standard bank group,15781,1,10
absa bank,279376,2,adcock ingram holdings,101933,2,,absa bank,279376,2,,allied electronics corp,102544,2,,african rainbow minerals,17315,2,,anglo american platinum,16610,2,,anglo american platinum,16610,2,
anglo american platinum,16610,2,african bank investments,#N/A,2,,adcock ingram holdings,101933,2,,anglo american,15508,2,,anglo american platinum,16610,2,,anglogold ashanti,19824,2,,anglo american,15508,2,
anglogold ashanti,19824,2,allied electronics corp,102544,2,,african bank investments,#N/A,2,,arcelormittal south africa,60918,2,,anglogold ashanti,19824,2,,aspen pharmacare holdings,211127,2,,arcelormittal south africa,60918,2,
barloworld,100166,2,anglo american platinum,16610,2,,african rainbow minerals,17315,2,,barloworld,100166,2,,arcelormittal south africa,60918,2,,barloworld,100166,2,,barloworld,100166,2,
bhp billiton,13312,2,anglo american,15508,2,,anglo american,15508,2,,growthpoint properties,16183,2,,aspen pharmacare holdings,211127,2,,exxaro resources,146202,2,,exxaro resources,146202,2,
british american tobacco,1932,2,aspen pharmacare holdings,211127,2,,anglogold ashanti,19824,2,,illovo sugar,208127,2,,barloworld,100166,2,,gold fields,17947,2,,gold fields,17947,2,
clicks group,213098,2,aveng,229436,2,,aspen pharmacare holdings,211127,2,,lonmin,100147,2,,clicks group,213098,2,,impala platinum holdings,102039,2,,harmony gold mining co,102341,2,
evraz highveld steel and vanadium,102412,2,barloworld,100166,2,,clicks group,213098,2,,murray & roberts holdings,102236,2,,exxaro resources,146202,2,,intu properties,209214,2,,impala platinum holdings,102039,2,
grindrod,209980,2,clicks group,213098,2,,growthpoint properties,16183,2,,oceana group,102145,2,,growthpoint properties,16183,2,,life healthcare group holdings (pty),211148,2,,intu properties,209214,2,
growthpoint properties,16183,2,growthpoint properties,16183,2,,harmony gold mining co,102341,2,,ppc,102035,2,,intu properties,209214,2,,massmart holdings,240319,2,,life healthcare group holdings (pty),211148,2,
impala platinum holdings,102039,2,harmony gold mining co,102341,2,,intu properties,209214,2,,sabmiller,100472,2,,life healthcare group holdings (pty),211148,2,,mtn group,211655,2,,mtn group,211655,2,
investec,209985,2,kumba iron ore,281544,2,,kumba iron ore,281544,2,,tsogo sun holdings,211126,2,,massmart holdings,240319,2,,nampak,62997,2,,nampak,62997,2,
liberty holdings,25052,2,lonmin,100147,2,,lonmin,100147,2,,"woolworths holdings , south africa",218003,2,,nampak,62997,2,,netcare,202546,2,,netcare,202546,2,
lonmin,100147,2,ppc,102035,2,,omnia holdings,210095,2,,anglo american platinum,16610,2,,nedbank group,15618,2,,sappi,102422,2,,sappi,102422,2,
netcare,202546,2,royal bafokeng platinum,295796,2,,ppc,102035,2,,anglogold ashanti,19824,2,,oceana group,102145,2,,standard bank group,15781,2,,telkom sa soc,152649,2,
PPC,102035,2,sappi,102422,2,,sabmiller,100472,2,,barclays africa group,16305,2,,ppc,102035,2,,telkom sa soc,152649,2,,tsogo sun holdings,211126,2,
sappi,102422,2,sun international,102016,2,,sappi,102422,2,,british american tobacco,1932,2,,sabmiller,100472,2,,tsogo sun holdings,211126,2,,"woolworths holdings , south africa",218003,2,
sun international,102016,2,aeci,100767,3,,"woolworths holdings , south africa",218003,2,,harmony gold mining co,102341,2,,sappi,102422,2,,"woolworths holdings , south africa",218003,2,,african rainbow minerals,17315,3,
foschini group,102497,2,anglogold ashanti,19824,3,,anglo american platinum,16610,3,,intu properties,209214,2,,tsogo sun holdings,211126,2,,african rainbow minerals,17315,3,,anglogold ashanti,19824,3,
aeci,100767,3,aquarius platinum,211527,3,,aveng,229436,3,,mtn group,211655,2,,vodacom group,292072,2,,attacq,316279,3,,aspen pharmacare holdings,211127,3,
adcock ingram holdings,101933,3,arcelormittal south africa,60918,3,,barloworld,100166,3,,nedbank group,15618,2,,"woolworths holdings , south africa",218003,2,,bhp billiton,13312,3,,attacq,316279,3,
african bank investments,#N/A,3,bhp billiton,13312,3,,bhp billiton,13312,3,,omnia holdings,210095,2,,acucap properties,251918,3,,british american tobacco,1932,3,,bhp billiton,13312,3,
allied electronics corp,102544,3,british american tobacco,1932,3,,british american tobacco,1932,3,,redefine properties,264030,2,,aeci,100767,3,,capitec bank holdings,251924,3,,british american tobacco,1932,3,
arcelormittal south africa,60918,3,intu properties,209214,3,,capitec bank holdings,251924,3,,sappi,102422,2,,assore,209952,3,,clicks group,213098,3,,capitec bank holdings,251924,3,
aspen pharmacare holdings,211127,3,discovery,240228,3,,discovery,240228,3,,vodacom group,292072,2,,attacq,316279,3,,curro holdings,297991,3,,clicks group,213098,3,
aveng,229436,3,grindrod,209980,3,,impala platinum holdings,102039,3,,adcock ingram holdings,101933,3,,bidvest group,209955,3,,discovery,240228,3,,coronation fund managers,257383,3,
capitec bank holdings,251924,3,impala platinum holdings,102039,3,,imperial holdings (ipl),211603,3,,african bank investments,#N/A,3,,brait se,220284,3,,distell group,210060,3,,discovery,240228,3,
discovery,240228,3,imperial holdings (ipl),211603,3,,investec,209985,3,,aveng,229436,3,,coronation fund managers,257383,3,,firstrand,200019,3,,distell group,210060,3,
firstrand,200019,3,investec,209985,3,,jd group,103252,3,,capital & counties properties,294528,3,,datatec,210057,3,,glencore,267407,3,,glencore,267407,3,
harmony gold mining co,102341,3,lewis group,271141,3,,life healthcare group holdings (pty),211148,3,,coronation fund managers,257383,3,,distell group,210060,3,,growthpoint properties,16183,3,,growthpoint properties,16183,3,
illovo sugar,208127,3,life healthcare group holdings (pty),211148,3,,massmart holdings,240319,3,,discovery,240228,3,,firstrand,200019,3,,hyprop investments,16356,3,,hammerson,15767,3,
imperial holdings (ipl),211603,3,massmart holdings,240319,3,,mediclinic international,205081,3,,foschini group,102497,3,,mediclinic international,205081,3,,imperial holdings (ipl),211603,3,,hyprop investments,16356,3,
jd group,103252,3,mediclinic international,205081,3,,mmi holdings,24946,3,,grindrod,209980,3,,mmi holdings,24946,3,,investec,209985,3,,imperial holdings (ipl),211603,3,
lewis group,271141,3,mmi holdings,24946,3,,mondi / (zaf),285170,3,,investec,209985,3,,mr. price group,211175,3,,jse,278391,3,,jse,278391,3,
life healthcare group holdings (pty),211148,3,mr. price group,211175,3,,mr. price group,211175,3,,mondi / (zaf),285170,3,,naspers,206059,3,,mondi / (zaf),285170,3,,massmart holdings,240319,3,
mediclinic international,205081,3,murray & roberts holdings,102236,3,,mtn group,211655,3,,netcare,202546,3,,northam platinum (pty),204211,3,,mr. price group,211175,3,,mondi / (zaf),285170,3,
mondi / (zaf),285170,3,netcare,202546,3,,netcare,202546,3,,old mutual,229039,3,,pick'n pay stores,102543,3,,northam platinum (pty),204211,3,,mr. price group,211175,3,
mtn group,211655,3,old mutual,229039,3,,oceana group,102145,3,,reunert,102162,3,,rcl foods,103026,3,,old mutual,229039,3,,northam platinum (pty),204211,3,
murray & roberts holdings,102236,3,optimum coal holdings,294284,3,,old mutual,229039,3,,santam,211610,3,,redefine international,273759,3,,pick'n pay stores,102543,3,,old mutual,229039,3,
nampak,62997,3,redefine properties,264030,3,,pioneer food group,288698,3,,vukile property fund,272681,3,,remgro,240519,3,,pioneer food group,288698,3,,omnia holdings,210095,3,
northam platinum (pty),204211,3,reunert,102162,3,,reunert,102162,3,,aeci,100767,3,,reunert,102162,3,,ppc,102035,3,,pick'n pay stores,102543,3,
old mutual,229039,3,sabmiller,100472,3,,sanlam,225136,3,,african rainbow minerals,17315,3,,santam,211610,3,,redefine international,273759,3,,pioneer food group,288698,3,
redefine properties,264030,3,sanlam,225136,3,,steinhoff international,#N/A,3,,bhp billiton,13312,3,,steinhoff international holdings,#N/A,3,,reunert,102162,3,,redefine international,273759,3,
royal bafokeng platinum,295796,3,foschini group,102497,3,,sun international,102016,3,,capitec bank holdings,251924,3,,super group,206941,3,,sabmiller,100472,3,,reunert,102162,3,
sabmiller,100472,3,wilson bayly holmes - ovcon,211607,3,,foschini group,102497,3,,datatec,210057,3,,telkom sa soc,152649,3,,sanlam,225136,3,,sanlam,225136,3,
sanlam,225136,3,"woolworths holdings , south africa",218003,3,,tongaat- hulett,101112,3,,firstrand,200019,3,,vukile property fund,272681,3,,sibanye gold,17287,3,,sibanye gold,17287,3,
santam,211610,3,,,,,tsogo sun holdings,211126,3,,glencore,267407,3,,alexander forbes group holdings,318215,4,,sun international,102016,3,,foschini group,102497,3,
telkom sa soc,152649,3,,,,,wilson bayly holmes - ovcon,211607,3,,impala platinum holdings,102039,3,,bhp billiton,13312,4,,foschini group,102497,3,,spar group,271087,3,
bidvest group,209955,3,,,,,acucap properties,251918,4,,life healthcare group holdings (pty),211148,3,,british american tobacco,1932,4,,spar group,271087,3,,tongaat- hulett,101112,3,
vodacom group,292072,3,,,,,aeci,100767,4,,nampak,62997,3,,capital & counties properties,294528,4,,tiger brands,102277,3,,aeci,100767,4,
"woolworths holdings , south africa",218003,3,,,,,assore,209952,4,,northam platinum (pty),204211,3,,capitec bank holdings,251924,4,,tongaat- hulett,101112,3,,brait se,220284,4,
,,,,,,,bidvest group,209955,4,,remgro,240519,3,,discovery,240228,4,,aeci,100767,4,,capital & counties properties,294528,4,
,,,,,,,brait se,220284,4,,sanlam,225136,3,,foschini group,102497,4,,bidvest group,209955,4,,curro holdings,297991,4,
,,,,,,,capital & counties properties,294528,4,,sun international,102016,3,,glencore,267407,4,,brait se,220284,4,,firstrand,200019,4,
,,,,,,,coronation fund managers,257383,4,,assore,209952,4,,grindrod,209980,4,,capital & regional,201023,4,,investec property fund,311563,4,
,,,,,,,datatec,210057,4,,avi,100434,4,,hyprop investments,16356,4,,capital & counties properties,294528,4,,mediclinic international,205081,4,
,,,,,,,distell group,210060,4,,bidvest group,209955,4,,illovo sugar,208127,4,,coronation fund managers,257383,4,,mmi holdings,24946,4,
,,,,,,,firstrand,200019,4,,brait se,220284,4,,impala platinum holdings,102039,4,,datatec,210057,4,,rcl foods,103026,4,
,,,,,,,fountainhead property trust,16291,4,,distell group,210060,4,,imperial holdings (ipl),211603,4,,investec property fund,311563,4,,rand merchant investment holdings,296962,4,
,,,,,,,grindrod,209980,4,,fountainhead property trust,16291,4,,investec,209985,4,,kap industrial holdings,211111,4,,remgro,240519,4,
,,,,,,,hyprop investments,16356,4,,hyprop investments,16356,4,,jse,278391,4,,mediclinic international,205081,4,,rmb holdings,210803,4,
,,,,,,,kap industrial holdings,211111,4,,imperial holdings (ipl),211603,4,,kap industrial holdings,211111,4,,mmi holdings,24946,4,,santam,211610,4,
,,,,,,,murray & roberts holdings,102236,4,,massmart holdings,240319,4,,lonmin,100147,4,,"psg group , south africa",200138,4,,super group,206941,4,
,,,,,,,nampak,62997,4,,mediclinic international,205081,4,,mondi / (zaf),285170,4,,psg konsult,317814,4,,bidvest group,209955,4,
,,,,,,,naspers,206059,4,,mmi holdings,24946,4,,netcare,202546,4,,rand merchant investment holdings,296962,4,,tiger brands,102277,4,
,,,,,,,pick'n pay stores,102543,4,,mr. price group,211175,4,,old mutual,229039,4,,rcl foods,103026,4,,Anheuser-Busch InBev SA/NV,241637,5,
,,,,,,,redefine properties,264030,4,,naspers,206059,4,,omnia holdings,210095,4,,remgro,240519,4,,assore,209952,5,
,,,,,,,remgro,240519,4,,pick'n pay stores,102543,4,,pioneer food group,288698,4,,rmb holdings,210803,4,,avi,100434,5,
,,,,,,,resilient reit,257302,4,,pioneer food group,288698,4,,sanlam,225136,4,,santam,211610,4,,bid corp,211642,5,
,,,,,,,sa corporate real estate fund,207125,4,,steinhoff international holdings,#N/A,4,,sibanye gold,17287,4,,south32,319687,4,,blue label telecoms,287271,5,
,,,,,,,santam,211610,4,,telkom sa soc,152649,4,,sun international,102016,4,,super group,206941,4,,compagnie financiere richemont s.a.,#N/A,5,
,,,,,,,telkom sa soc,152649,4,,tiger brands,102277,4,,spar group,271087,4,,avi,100434,5,,eoh holdings,240244,5,
,,,,,,,tiger brands,102277,4,,tongaat- hulett,101112,4,,tongaat- hulett,101112,4,,compagnie financiere richemont s.a.,#N/A,5,,steers holdings,200613,5,
,,,,,,,arcelormittal south africa,60918,4,,wilson bayly holmes - ovcon,211607,4,,avi,100434,5,,eoh holdings,240244,5,,fortress income fund -a,293771,5,
,,,,,,,afrox,#N/A,5,,capital property fund,23200,5,,capital property fund,23200,5,,erin energy corporation,#N/A,5,,globe trade centre SA,270270,5,
,,,,,,,avi,100434,5,,caxton and ctp publishers and printers,223145,5,,eoh holdings,240244,5,,steers holdings,200613,5,,hosken consolidated investments,221274,5,
,,,,,,,capital property fund,23200,5,,eoh holdings,240244,5,,steers holdings,200613,5,,fortress income fund -a,293771,5,,italtile,211104,5,
,,,,,,,caxton and ctp publishers and printers,223145,5,,steers holdings,200613,5,,hosken consolidated investments,221274,5,,hosken consolidated investments,221274,5,,kap industrial holdings,211111,5,
,,,,,,,compagnie financiere richemont sa,#N/A,5,,hosken consolidated investments,221274,5,,new europe property investments,286281,5,,italtile,211104,5,,naspers,206059,5,
,,,,,,,hosken consolidated investments,221274,5,,invicta holdings,209987,5,,"psg group , south africa",200138,5,,naspers,206059,5,,new europe property investments,286281,5,
,,,,,,,new europe property investments,286281,5,,new europe property investments,286281,5,,rand merchant investment holdings,296962,5,,net 1 ueps technologies inc,#N/A,5,,"psg group , south africa",200138,5,
,,,,,,,northam platinum (pty),204211,5,,"psg group , south africa",200138,5,,reinet investments sca,290081,5,,new europe property investments,286281,5,,reinet investments sca,290081,5,
,,,,,,,"psg group , south africa",200138,5,,rand merchant investment holdings,296962,5,,resilient reit,257302,5,,oakbay resources and energy,318745,5,,resilient reit,257302,5,
,,,,,,,rand merchant investment holdings,296962,5,,reinet investments sca,290081,5,,compagnie financie_re richemont,#N/A,5,,reinet investments sca,290081,5,,rockcastle global real estate co,314279,5,
,,,,,,,reinet investments sca,290081,5,,resilient reit,257302,5,,rmb holdings,210803,5,,resilient reit,257302,5,,SA corporate,#N/A,5,
,,,,,,,rmb holdings,210803,5,,richemont sa,#N/A,5,,rockcastle global real estate co,314279,5,,rockcastle global real estate co,314279,5,,shoprite holdings (shp),211166,5,
,,,,,,,shoprite holdings (shp),211166,5,,rmb holdings,210803,5,,shoprite holdings (shp),211166,5,,shoprite holdings (shp),211166,5,,south32,319687,5,
,,,,,,,spar group,271087,5,,shoprite holdings (shp),211166,5,,tiger brands,102277,5,,steinhoff international holdings n.v.,#N/A,5,,steinhoff international holdings n.v.,#N/A,5,
,,,,,,,trencor,102053,5,,spar group,271087,5,,trencor,102053,5,,vukile property fund,272681,5,,vukile property fund,272681,5,
,,,,,,,uranium one,#N/A,5,,trencor,102053,5,,zeder investments,281736,5,,zeder investments,281736,5,,zeder investments,281736,5,
,1,,,1,0,,,5,,,,3,,,,2,,,,4,0,,0,3,0,